Account_ID,Activities_Last_30_Days,Employees,ZoomInfo_Employee_Range,ZoomInfo_Revenue_Range,Organic_Visits,Pct_Organic_Visits,SEO_Visits,URLs_Indexed,ZoomInfo_Global_HQ_Country,Annual_Revenue_converted,Adjusted_Industry,Account_ICP_Score,Account_ICP_Tier,Page_Count,Page_Count_Range,Alexa_Rank,Parent_Account_Status,y
0011p00002SejY2,0.0,25.0,1 - 5,"Under $500,000",17547780.0,0.2,17547780.0,2060000.0,non_US,1000000.0,Media,87.5,Tier A,2060000.0,>1M,393.0,-,prospect
0011p00002SelYD,0.0,5000.0,10 - 20,$50 mil. - $100 mil.,8520105.0,0.09,8520105.0,466000.0,non_US,1000000000.0,Media,87.5,Tier A,466000.0,Between 250K and 500K,618.0,-,prospect
0011p00002Selmu,0.0,10.0,20 - 50,$5 mil. - $10 mil.,6321858.0,0.54,6321858.0,4410000.0,-,10000000.0,Other,100.0,Tier A,4410000.0,>1M,4417.0,-,prospect
0011p00002SejYN,0.0,5000.0,20 - 50,$5 mil. - $10 mil.,10557886.0,,10557886.0,5080000.0,non_US,1000000000.0,Media,91.667,Tier A,5080000.0,>1M,8572.0,-,prospect
0011p00002SelnI,0.0,10.0,20 - 50,$5 mil. - $10 mil.,23301081.0,0.76,23301081.0,26200000.0,US,10000000.0,Other,100.0,Tier A,26200000.0,>1M,1686.0,-,prospect
0011p00002SeikM,0.0,10.0,-,-,12925640.0,0.79,12925640.0,32800000.0,-,1000000.0,Other,100.0,Tier A,32800000.0,>1M,11100.0,-,prospect
0011p00002SekaF,0.0,10.0,-,-,5697779.0,0.79,5697779.0,5030000.0,-,10000000.0,Other,62.5,Tier A,5030000.0,>1M,47911.0,-,prospect
0011p00002SektQ,0.0,69000.0,"Over 10,000",Over $5 bil.,7146720.0,0.88,7146720.0,148000.0,US,42300000000.0,Classified,95.833,Tier A,148000.0,Between 100K and 250K,6595.0,-,prospect
0011p00002Sek5Z,0.0,10.0,20 - 50,$1 mil. - $5 mil.,9726836.0,0.19,9726836.0,1260000.0,-,10000000.0,Other,100.0,Tier A,1260000.0,>1M,846.0,-,prospect
0011p00002SelNt,0.0,5000.0,"1,000 - 5,000",$500 mil. - $1 bil.,1860555.0,,5917875.0,570000.0,US,1000000000.0,Classified,100.0,Tier A,2550000.0,>1M,16855.0,Prospect,prospect
0011p00002SelCz,0.0,200.0,10 - 20,$10 mil. - $25 mil.,129371080.0,0.31,129371080.0,55400000.0,US,50000000.0,Other,100.0,Tier A,55400000.0,>1M,1000001.0,-,prospect
0011p00002SejG7,0.0,25.0,20 - 50,$5 mil. - $10 mil.,3852442.0,0.42,23424313.0,1050000.0,non_US,50000000.0,Travel,100.0,Tier A,1171000.0,>1M,6907.0,-,prospect
0011p00002SejAK,0.0,10.0,-,-,7008526.0,0.85,7008526.0,13500000.0,non_US,1000000.0,Other,62.5,Tier A,13500000.0,>1M,4641.0,-,prospect
0011p00002Sejjo,0.0,500.0,20 - 50,$5 mil. - $10 mil.,16503884.0,0.81,16503884.0,4740000.0,US,50000000.0,Other,75.0,Tier A,4740000.0,>1M,1582.0,-,prospect
0011p00002SelyG,0.0,10.0,-,-,17808160.0,0.71,17808160.0,1300000.0,-,10000000.0,Other,66.667,Tier A,1300000.0,>1M,104483.0,-,prospect
0011p00002SelEy,0.0,500.0,"500 - 1,000",$100 mil. - $250 mil.,8624959.0,0.51,8624959.0,3450000.0,non_US,250000000.0,Media,95.833,Tier A,3450000.0,>1M,14885.0,-,prospect
0011p00002SeioH,0.0,200.0,10 - 20,$1 mil. - $5 mil.,5575119.0,0.88,5575119.0,1270000.0,US,10000000.0,Media,100.0,Tier A,1270000.0,>1M,22150.0,-,prospect
0011p00002W9KvR,3.0,5000.0,"1,000 - 5,000",-,708427.0,,708427.0,,US,1000000000.0,Retail,45.833,Tier A,,-,14936.0,Prospect,prospect
0011p00002SemGd,0.0,41.0,20 - 50,$5 mil. - $10 mil.,24789562.0,0.71,24789562.0,1970000.0,-,7900000.0,Media,83.333,Tier A,1970000.0,>1M,4786.0,Prospect,prospect
0011p00002SekcD,0.0,24.0,20 - 50,$1 mil. - $5 mil.,5664799.0,0.9,5664799.0,3240000.0,-,4600000.0,Other,100.0,Tier A,3240000.0,>1M,12247.0,-,prospect
0011p00002Sekpo,0.0,200.0,100 - 250,$25 mil. - $50 mil.,11447929.0,0.12,11447929.0,1240000.0,non_US,100000000.0,Media,100.0,Tier A,1240000.0,>1M,1275.0,-,prospect
0011p00002SemEz,0.0,26.0,20 - 50,$5 mil. - $10 mil.,9348253.0,0.52,9348253.0,6570000.0,non_US,5000000.0,Other,62.5,Tier A,6570000.0,>1M,3822.0,-,prospect
0011p00002SekOG,0.0,200.0,-,-,15959598.0,0.78,15959598.0,36900000.0,-,10000000.0,Other,100.0,Tier A,36900000.0,>1M,785675.0,-,prospect
0011p00002SelhF,0.0,,-,-,36244268.0,0.87,36244268.0,4380000.0,-,,Other,62.5,Tier A,4380000.0,>1M,1940.0,-,prospect
0011p00002SejRz,0.0,50.0,20 - 50,$5 mil. - $10 mil.,29682234.0,0.73,29682234.0,24900000.0,-,10000000.0,Other,66.667,Tier A,24900000.0,>1M,1000001.0,Active Customer,prospect
0011p00002Sel7V,0.0,10.0,10 - 20,$1 mil. - $5 mil.,7833428.0,0.82,7833428.0,17900000.0,non_US,1000000.0,Other,62.5,Tier A,17900000.0,>1M,19894.0,-,prospect
0011p00002SekqC,0.0,500.0,20 - 50,$1 mil. - $5 mil.,6500227.0,0.7,6500227.0,2810000.0,US,10000000.0,Other,100.0,Tier A,2810000.0,>1M,1000001.0,-,prospect
0011p00002SemE0,0.0,10.0,20 - 50,$10 mil. - $25 mil.,17432028.0,0.6,17432028.0,1250000.0,-,10000000.0,Other,100.0,Tier A,1250000.0,>1M,653.0,-,prospect
0011p00002SekbN,0.0,500.0,100 - 250,$25 mil. - $50 mil.,2272435.0,,2272435.0,1210000.0,non_US,50000000.0,Media,79.167,Tier A,1210000.0,>1M,3428.0,-,prospect
0011p00002Sekqm,0.0,200.0,50 - 100,$10 mil. - $25 mil.,11806283.0,0.35,11806283.0,3030000.0,non_US,50000000.0,Classified,87.5,Tier A,3030000.0,>1M,1557.0,-,prospect
0011p00002SemNR,0.0,,-,-,5410871.0,0.27,5410871.0,1170000.0,-,,Other,100.0,Tier A,1170000.0,>1M,17981.0,-,prospect
0011p00002SeliF,0.0,200.0,20 - 50,$5 mil. - $10 mil.,10676190.0,0.4,10676190.0,10800000.0,-,10000000.0,Other,100.0,Tier A,10800000.0,>1M,2660.0,-,prospect
0011p00002Sej3c,0.0,182.0,100 - 250,$25 mil. - $50 mil.,19622354.0,0.22,19622354.0,5220000.0,non_US,35200000.0,Media,100.0,Tier A,5220000.0,>1M,1535.0,-,prospect
0011p00002Sem9J,0.0,25.0,50 - 100,$10 mil. - $25 mil.,5162737.0,0.8,5162737.0,1670000.0,non_US,10000000.0,Other,100.0,Tier A,1670000.0,>1M,5025.0,-,prospect
0011p00002Sem9W,0.0,,-,-,5248422.0,0.92,5248422.0,2500000.0,-,,Other,62.5,Tier A,2500000.0,>1M,69526.0,-,prospect
0011p00002SemJf,0.0,,-,-,8748596.0,0.45,8748596.0,3490000.0,US,,Media,100.0,Tier A,3490000.0,>1M,3309.0,-,prospect
0011p00002SelvC,0.0,1000.0,-,-,78177.0,,78177.0,8440000.0,-,1000000000.0,Other,62.5,Tier A,8440000.0,>1M,6291.0,-,prospect
0011p00002SemGx,0.0,10000.0,100 - 250,$25 mil. - $50 mil.,2338480.0,,2338480.0,3910000.0,non_US,1000000000.0,Retail,87.5,Tier A,3910000.0,>1M,2077.0,Prospect,prospect
0011p00002SemQa,0.0,5000.0,250 - 500,-,197753.0,,197753.0,1570000.0,non_US,1000000000.0,Other,62.5,Tier A,1570000.0,>1M,4357.0,-,prospect
0011p00002SemRb,0.0,,-,-,8712075.0,0.89,8712075.0,1210000.0,US,,Other,100.0,Tier A,1210000.0,>1M,4640.0,-,prospect
0011p00002SekBb,0.0,27.0,20 - 50,-,12448971.0,0.79,12448971.0,5600000.0,-,,Media,100.0,Tier A,5600000.0,>1M,9595.0,-,prospect
0011p00002SekRa,0.0,50.0,20 - 50,$5 mil. - $10 mil.,32022984.0,0.77,32022984.0,2400000.0,non_US,5200000.0,Other,66.667,Tier A,2400000.0,>1M,8817.0,Prospect,prospect
0011p00002SekBu,0.0,5000.0,100 - 250,-,22979555.0,,22979555.0,7490000.0,non_US,1000000000.0,Media,100.0,Tier A,7490000.0,>1M,894.0,-,prospect
0011p00002Sek9m,0.0,10000.0,"Over 10,000",Over $5 bil.,1363171.0,,1363171.0,1140000.0,non_US,1000000000.0,Agencies,70.833,Tier A,1140000.0,>1M,14711.0,-,prospect
0011p00002Sejxk,0.0,200.0,-,-,5378737.0,0.41,5378737.0,4110000.0,US,10000000.0,Media,100.0,Tier A,4110000.0,>1M,3570.0,-,prospect
